prad,napiecie,power,setcurrent
0.005,5.306,0.0,100
0.002,5.306,0.0,130
0.024,5.279,0.1,160
0.056,5.243,0.3,190
0.116,5.181,0.6,220
0.165,5.145,0.8,250
0.2,5.118,1.0,280
0.221,5.091,1.1,310
0.254,5.038,1.3,340
0.288,5.011,1.4,370
0.321,4.984,1.6,400
0.342,4.957,1.7,430
0.373,4.922,1.8,460
0.406,4.895,2.0,490
0.428,4.868,2.1,520
0.464,4.832,2.2,550
0.497,4.805,2.3,580
0.529,4.752,2.5,610
0.549,4.752,2.6,640
0.584,4.698,2.7,670
0.616,4.662,2.9,700
0.649,4.636,3.0,730
0.671,4.609,3.1,760
0.704,4.582,3.2,790
0.735,4.555,3.3,820
0.767,4.502,3.5,850
0.79,4.502,3.6,880
0.834,4.448,3.7,910
0.856,4.412,3.8,940
0.89,4.377,3.9,970
0.912,4.377,4.0,1000
0.945,4.323,4.1,1030
0.976,4.296,4.2,1060
0.997,4.269,4.3,1090
1.03,4.243,4.4,1120
1.062,4.207,4.5,1150
1.094,4.18,4.6,1180
1.117,4.153,4.6,1210
1.161,4.118,4.7,1240
1.182,4.082,4.8,1270
1.215,4.046,4.9,1300
1.237,4.019,5.0,1330
1.25,4.019,5.0,1360
1.25,4.019,5.0,1390
1.25,4.019,5.0,1420
1.25,4.019,5.0,1450
1.25,4.019,5.0,1480
1.25,4.019,5.0,1510
1.25,4.019,5.0,1540
1.25,4.019,5.0,1570
1.25,4.019,5.0,1600
1.343,3.906,5.2,1630
1.35,3.884,5.3,1660
1.456,3.795,5.5,1690
1.533,3.717,5.7,1720
1.636,3.604,5.9,1750
1.693,3.546,6.0,1780
1.718,3.518,6.0,1810
1.765,3.47,6.1,1840
1.786,3.447,6.2,1870
1.808,3.413,6.2,1900
1.853,3.378,6.3,1930
1.875,3.356,6.3,1960
1.908,3.321,6.3,1990
1.941,3.287,6.4,2020
1.964,3.263,6.4,2050
2.005,3.217,6.4,2080
2.027,3.194,6.5,2110
2.049,3.172,6.5,2140
2.095,3.127,6.6,2170
2.117,3.105,6.6,2200
2.149,3.069,6.6,2230
2.183,3.037,6.6,2260
2.205,3.013,6.6,2290
2.237,2.98,6.7,2320
2.268,2.946,6.7,2350
2.29,2.925,6.7,2380
2.323,2.879,6.7,2410
2.356,2.855,6.7,2440
2.389,2.819,6.7,2470
2.423,2.786,6.8,2500
2.446,2.763,6.8,2530
2.478,2.729,6.8,2560
2.513,2.696,6.8,2590
2.545,2.673,6.8,2620
2.567,2.626,6.8,2650
2.599,2.603,6.8,2680
2.632,2.57,6.8,2710
2.654,2.535,6.8,2740
2.687,2.513,6.8,2770
2.72,2.478,6.7,2800
2.752,2.447,6.7,2830
2.784,2.424,6.7,2860
2.806,2.389,6.7,2890
2.839,2.354,6.7,2920
2.875,2.32,6.7,2950
2.896,2.286,6.7,2980
2.929,2.264,6.6,3010
2.961,2.229,6.6,3040
2.981,2.19,6.6,3070
3.024,2.149,6.5,3100
3.054,2.122,6.5,3130
3.091,2.084,6.5,3160
3.12,2.05,6.4,3190
3.142,2.027,6.4,3220
3.171,1.997,6.3,3250
3.201,1.96,6.3,3280
3.237,1.938,6.3,3310
3.259,1.894,6.2,3340
3.289,1.871,6.2,3370
3.325,1.835,6.1,3400
3.362,1.802,6.1,3430
3.392,1.78,6.0,3460
3.414,1.746,6.0,3490
3.443,1.713,5.9,3520
3.48,1.681,5.8,3550
3.502,1.659,5.8,3580
3.531,1.624,5.7,3610
3.568,1.59,5.7,3640
3.597,1.566,5.6,3670
3.634,1.519,5.5,3700
3.656,1.497,5.5,3730
3.693,1.463,5.4,3760
3.722,1.432,5.3,3790
3.751,1.409,5.3,3820
3.773,1.375,5.2,3850
3.795,1.342,5.1,3880
3.839,1.309,5.0,3910
3.861,1.286,5.0,3940
3.898,1.251,4.9,3970
